word,album_name,N,tf,idf,tf_idf
wait,We Were Dead Before the Ship Even Sank,35,0.426829268292683,1.33053552763437,0.567911505697595
ha,We Were Dead Before the Ship Even Sank,34,0.829268292682927,1.33053552763437,1.10337092535533
gonna,We Were Dead Before the Ship Even Sank,22,0.191304347826087,1.33053552763437,0.254537231373531
stubborn,We Were Dead Before the Ship Even Sank,19,1,1.33053552763437,1.33053552763437
die,We Were Dead Before the Ship Even Sank,19,0.431818181818182,1.33053552763437,0.574549432387567
bad,We Were Dead Before the Ship Even Sank,17,0.425,1.33053552763437,0.565477599244605
beauti,We Were Dead Before the Ship Even Sank,17,0.894736842105263,1.33053552763437,1.19047915630443
venom,We Were Dead Before the Ship Even Sank,17,1,1.33053552763437,1.33053552763437
woo,We Were Dead Before the Ship Even Sank,17,0.772727272727273,1.33053552763437,1.02814108953565
hoo,We Were Dead Before the Ship Even Sank,17,1,1.33053552763437,1.33053552763437
